"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","24","0","0","0"
"","Contact Form","Mandatory fields","0","4","0","0","0"
"","Search","Search API Tests","0","22","0","0","0"
"","Login","Registration API tests","0","0","2","0","0"
"","Product Catalog","Sally sorts by different criteria","0","4","0","0","0"
"","Login","Login API tests","0","2","2","0","0"
"","Search","Basic search function","0","3","0","0","0"
"","Contact Form","Basic input fields","0","1","0","0","0"
"","Product Catalog","The one where Sally want to see ""Hand Saws""","0","1","0","0","0"
"","Product Catalog","The one where Sally searches for an Adjustable Wrench","0","2","0","0","0"
"","Product Catalog","The one where Sally searches for ""Pliers"" and we check the price","0","1","0","0","0"
"","Shopping Cart","Smoke test for cart functionality","0","1","0","0","0"
"","Product Catalog","The one where Sally searches for a more general term","0","1","0","0","0"
