"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 08 11:23:37 UTC 2026","Fri May 08 11:24:07 UTC 2026","30437","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldUpdateCartItemCount","shouldUpdateCartItemCount(Page)",""
"broken","Fri May 08 11:24:37 UTC 2026","Fri May 08 11:25:08 UTC 2026","30291","","Contact Form Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.contact.ContactFormTest","mandatoryFieldsCheck","Checking which fields are mandatory [4] fieldName=Message",""
"broken","Fri May 08 11:25:15 UTC 2026","Fri May 08 11:25:15 UTC 2026","320","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","mandatoryFieldsCheck","Mandatory Fields test [4] fieldName=Message",""
"broken","Fri May 08 11:25:47 UTC 2026","Fri May 08 11:26:17 UTC 2026","30383","","com.kroenner.playwright.lections.AddingItemsToTheCartTest","","com.kroenner.playwright.lections.AddingItemsToTheCartTest","searchForPliers","Search for pliers",""
"broken","Fri May 08 11:24:41 UTC 2026","Fri May 08 11:25:12 UTC 2026","30447","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MakingAPICalls","checkKnownProduct","Check presence of known produсts Checking product Product[name=Claw Hammer with Fiberglass Handle, price=20.14]",""
"broken","Fri May 08 11:25:14 UTC 2026","Fri May 08 11:25:15 UTC 2026","241","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","mandatoryFieldsCheck","Mandatory Fields test [2] fieldName=Last name",""
"broken","Fri May 08 11:23:07 UTC 2026","Fri May 08 11:23:39 UTC 2026","32011","","Mocking tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MockingAPIResponses","whenASingleItemIsFound","Search for pliers, but find only 1 mocking result",""
"passed","Fri May 08 11:25:08 UTC 2026","Fri May 08 11:25:11 UTC 2026","2845","","Login Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.login.RegisterUserAPITest","first_name_is_mandatory","Fail to register a user without first name",""
"broken","Fri May 08 11:25:13 UTC 2026","Fri May 08 11:25:13 UTC 2026","522","","com.kroenner.playwright.toolshopUsePlaywright.CartAndSearchTests","","com.kroenner.playwright.toolshopUsePlaywright.CartAndSearchTests","whenSearchingByKeyword","Search a product by keyword",""
"broken","Fri May 08 11:25:47 UTC 2026","Fri May 08 11:25:47 UTC 2026","0","","com.kroenner.playwright.lections.PageLection.DomainPageObjectTest","","com.kroenner.playwright.lections.PageLection.DomainPageObjectTest","","DomainPageObjectTest",""
"broken","Fri May 08 11:29:18 UTC 2026","Fri May 08 11:29:49 UTC 2026","31652","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Fri May 08 11:25:12 UTC 2026","Fri May 08 11:25:42 UTC 2026","30467","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MakingAPICalls","checkKnownProduct","Check presence of known produсts Checking product Product[name=Court Hammer, price=18.63]",""
"broken","Fri May 08 11:24:07 UTC 2026","Fri May 08 11:24:37 UTC 2026","30438","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldDisplayToasterMessage","shouldDisplayToasterMessage(Page)",""
"broken","Fri May 08 11:25:14 UTC 2026","Fri May 08 11:25:14 UTC 2026","267","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","completeForm","Fill out the Contact Form",""
"broken","Fri May 08 11:23:37 UTC 2026","Fri May 08 11:24:07 UTC 2026","30430","","Contact Form Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.contact.ContactFormTest","mandatoryFieldsCheck","Checking which fields are mandatory [2] fieldName=Last name",""
"broken","Fri May 08 11:25:13 UTC 2026","Fri May 08 11:25:14 UTC 2026","198","","com.kroenner.playwright.toolshopUsePlaywright.CartAndSearchTests","","com.kroenner.playwright.toolshopUsePlaywright.CartAndSearchTests","cartTestWithPageObjects","Cart test with Page Objects",""
"broken","Fri May 08 11:29:49 UTC 2026","Fri May 08 11:30:20 UTC 2026","30683","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Fri May 08 11:28:14 UTC 2026","Fri May 08 11:28:45 UTC 2026","30344","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MakingAPICalls","checkKnownProduct","Check presence of known produсts Checking product Product[name=Mini Screwdriver, price=13.96]",""
"passed","Fri May 08 11:24:10 UTC 2026","Fri May 08 11:24:12 UTC 2026","1768","","Login Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.login.LoginUserAPITest","should_failToLoginUser","Too many attempts to login with wrong credentials",""
"broken","Fri May 08 11:25:42 UTC 2026","Fri May 08 11:26:13 UTC 2026","30433","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MakingAPICalls","checkKnownProduct","Check presence of known produсts Checking product Product[name=Wood Saw, price=12.18]",""
"broken","Fri May 08 11:25:08 UTC 2026","Fri May 08 11:25:38 UTC 2026","30363","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldWaitforTheFilterCheckboxes","shouldWaitforTheFilterCheckboxes(Page)",""
"passed","Fri May 08 11:25:11 UTC 2026","Fri May 08 11:25:13 UTC 2026","2044","","Login Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.login.RegisterUserAPITest","should_register_user","Create a new user",""
"broken","Fri May 08 11:24:37 UTC 2026","Fri May 08 11:25:08 UTC 2026","30397","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldFilterProductsByCategory","shouldFilterProductsByCategory(Page)",""
"broken","Fri May 08 11:22:23 UTC 2026","Fri May 08 11:23:06 UTC 2026","42876","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.catalog.SearchForProductsTest","whenSearchingByKeyword","Search a product by keyword",""
"broken","Fri May 08 11:22:23 UTC 2026","Fri May 08 11:23:06 UTC 2026","42882","","Contact Form Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.contact.ContactFormTest","completeForm","Fill out the Contact Form",""
"broken","Fri May 08 11:25:14 UTC 2026","Fri May 08 11:25:14 UTC 2026","197","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","mandatoryFieldsCheck","Mandatory Fields test [1] fieldName=First name",""
"broken","Fri May 08 11:23:36 UTC 2026","Fri May 08 11:24:07 UTC 2026","30405","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.catalog.SearchForProductsTest","clearingTheSearchResults","Clearing the search results",""
"broken","Fri May 08 11:29:18 UTC 2026","Fri May 08 11:29:49 UTC 2026","31402","","Product Catalog","","The one where Sally want to see ""Hand Saws""","","The one where Sally want to see ""Hand Saws""","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Fri May 08 11:25:15 UTC 2026","Fri May 08 11:25:15 UTC 2026","291","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","","com.kroenner.playwright.toolshopUsePlaywright.ContactFormTest","mandatoryFieldsCheck","Mandatory Fields test [3] fieldName=Email",""
"broken","Fri May 08 11:26:16 UTC 2026","Fri May 08 11:26:47 UTC 2026","30351","","com.kroenner.playwright.lections.AssertionsTests","","com.kroenner.playwright.lections.AssertionsTests","allProductPricesShouldBeCorrectValues","Testing assertions in prices",""
"broken","Fri May 08 11:28:45 UTC 2026","Fri May 08 11:29:17 UTC 2026","32235","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Fri May 08 11:23:39 UTC 2026","Fri May 08 11:24:10 UTC 2026","31088","","Mocking tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MockingAPIResponses","whenNoItemsAreFound","Search for pliers, but find no result due to mocking",""
"broken","Fri May 08 11:22:23 UTC 2026","Fri May 08 11:23:06 UTC 2026","42885","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldShowAllProductNames","shouldShowAllProductNames(Page)",""
"passed","Fri May 08 11:24:07 UTC 2026","Fri May 08 11:24:10 UTC 2026","3033","","Login Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.login.LoginUserAPITest","should_failToLoginNewUser","Create a new user and fail to login once, 401 error check",""
"broken","Fri May 08 11:28:45 UTC 2026","Fri May 08 11:29:18 UTC 2026","32351","","Product Catalog","","The one where Sally searches for an Adjustable Wrench","","The one where Sally searches for an Adjustable Wrench","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"broken","Fri May 08 11:26:13 UTC 2026","Fri May 08 11:26:43 UTC 2026","30352","","Search Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.PlaywrightRestAPITest$MakingAPICalls","checkKnownProduct","Check presence of known produсts Checking product Product[name=Adjustable Wrench, price=20.33]",""
"broken","Fri May 08 11:24:12 UTC 2026","Fri May 08 11:24:44 UTC 2026","31736","","Login Tests","","com.kroenner.playwright.toolshopNoUsePlaywright.login.LoginWithRegisteredUserTest","should_reject_user_with_invalid_password","Register a new user and use wrong password",""
"broken","Fri May 08 11:23:06 UTC 2026","Fri May 08 11:23:37 UTC 2026","30600","","com.kroenner.playwright.lections.WaitingTests.WaitingForState","","com.kroenner.playwright.lections.WaitingTests$WaitingForState","shouldShowAllProductImages","shouldShowAllProductImages(Page)",""
"broken","Fri May 08 11:28:45 UTC 2026","Fri May 08 11:29:17 UTC 2026","31984","","Product Catalog","","The one where Sally searches for ""Pliers"" and we check the price","","The one where Sally searches for ""Pliers"" and we check the price","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
